Name,Interests,Department
Shaofan Li,structural mechanics~computational mechanics and computational physics~finite element methods and meshfree particle methods~atomistic simulation and multiscale simulations~nonlinear continuum mechanics~soft matter mechanics~wave propagations~Modeling and simulation of material failures~Nano-mechanics~bio-mechanics and bio-physics~Cellular mechanics~micromechanics &amp; composite materials,Department of Civil and Environmental Engineering
Shari Huhndorf,interdisciplinary Native American studies~cultural studies~gender studies~American studies~literary and visual culture,Department of Ethnic Studies
Sharon E. Fleming,plant biology~health and nutrition,College of Natural Resources~Department of Nutritional Sciences &amp; Toxicology
Sharon Inkelas,morphology~phonology~reduplication~child phonology,Department of Linguistics
Shauna Somerville,powdery mildew disease~cell wall integrity sensing~plant-fungal interactions~plant cell walls,Department of Plant and Microbial Biology
Sheila McCormick,molecular biology~genetics~pollen~plant reproduction,Department of Plant and Microbial Biology
Sheldon M. Ross,financial engineering~simulations~stochastics~statistical analysis,Department of Industrial Engineering &amp; Operations Research
Sheldon Zedeck,statistics~organization~psychology~research methodology~industrial~social psychology~personnel~cross-cultural work values~decision-making research~work and family issues~the work values of Chinese employees,Department of Psychology
Sheng Luan,microbial biology~plant biology,College of Natural Resources~Department of Plant and Microbial Biology
Sheri Johnson,bipolar disorder~social dominance,Department of Psychology
Shmuel S. Oren,economics~algorithms~financial engineering~risk management~planning~optimization~operation of electric power systems~market based coordination of network systems~trading instruments,Department of Industrial Engineering &amp; Operations Research
Silvia Bunge,cognition~human brain function~development,Department of Psychology
Slawomir W. Hermanowicz,water quality management~biofilms~membrane processes~water reuse~biological processes for water quality~physical sustainability,Department of Civil and Environmental Engineering
Sofia Villas-Boas,economics~industrial organization and applied econometrics,College of Natural Resources~Department of Agricultural &amp; Resource Economics
Song Li,bioengineering~vascular tissue engineering~stem cell engineering~mechano-chemical signal transduction~biomimetic matrix~molecules~bioinformatic applications in tissue engineering~molecular dynamics,Department of Bioengineering
Sophia Rabe-Hesketh,biostatistics~educational statistics~latent variable models~multilevel models~generalized linear latent and mixed models~hierarchical models~longitudinal data~Item response models~structural equation models,Graduate School of Education
Sophie Volpp,east asian languages and cultures~history of performance~gender theory~the history of sexuality~material culture~material objects in late-imperial literature,Department of East Asian Languages and Cultures
Soraya Tlatli,francophone literature~colonial and postcolonial studies~literature and psychoanalysis~twentieth-century continental philosophy,Department of French
Squeak Carnwath,art~painting~printmaking,Department of Art Practice
Stanley G. Prussin,low-energy nuclear physics~radio and nuclear chemistry~radiation detection and measurements~applications to problems in nuclear security and nuclear forensics,Department of Nuclear Engineering
Stanley H. Brandes,cultural anthropology~ritual and religion~food and drink~alcohol use~visual anthropology~Mediterranean Europe~Latin America~Spain~Mexico,Department of Anthropology
Stanley Klein,optometry~vision science~spatial vision modeling~psychophysical methods and vision test design~corneal topography and contact lens design~source localization of evoked potentials~fMRI~amblyopia,School of Optometry
Stanley Mandelstam,physics~string theory~the n-loop superstring amplitude~particle theory~Seiberg and Witten in supersymmetric field theories~topology~topology changes in two-dimensional target spaces,Department of Physics
Stanley Saitowitz,architecture~architecture and cooking~urbanism and computers,Department of Architecture
Stefan-Ludwig Hoffmann,Modern German and European History~Conceptual History~Transnational History~urban studies,Department of History
Stefania Pandolfo,cultural anthropology~Islam~Middle East~theories of subjectivity~postcolonial criticism~anthropology and literature~the Maghreb~mental illness,Department of Anthropology
Stefano Bertozzi,HIV/AIDS~HIV prevention~HIV treatment programs~reproductive health~health economics~anti-poverty programs~impact evaluation,School of Public Health
Stefano DellaVigna,behavioral economics~applied microeconomics~behavioral finance~media economics,Department of Economics
Stefano Schiavon,energy~architecture~thermal comfort~indoor air quality~building energy efficiency~indoor environment quality~productivity~wellbeing~sustainable building design~simulation and verification~personal environmental control system~energy simulation~underfloor air distribution~radiant~post-occupancy evaluation,Department of Architecture
Stephan H. Astourian,Armenia~Caucasus~Azerbaijan~Modern Turkey~Diasporas.,Department of History
Stephan Lammel,neuroscience~Optogenetics~dopamine~addiction~depression,Department of Molecular &amp; Cell Biology
Stephanie Carlson,conservation biology~evolutionary ecology~fish ecology~stream ecology~freshwater ecology~northern California rivers~Pacific salmon,"Department of Environmental Science, Policy &amp; Management"
Stephanie Jones-Rogers,nan,Department of History
Stephanie Syjuco,art~sculpture~ceramics~social practice~craft~activism~public art~feminism~capitalism~communes~material culture~informal economies~black markets~hacker culture~detournement~digital culture~the industrial revolution~Russian Constructivism~Arts &amp; Crafts Movement~The Bauhaus~The Berlin Wall~design culture~architecture~brutalist architecture~urbanism~survivalism~archives~libraries~museums~museum display~modernity~postcolonial studies~labor history~American history~globalization~revolutions~cargo cults~the Philippines~Asian American studies~empire~textiles~fashion~ethnography~trade routes~science fiction~afrofuturism~camouflage~surveillance technologies~DIY culture~zines~punk rock~maker culture~kittens,Department of Art Practice
Stephen A. Mahin,earthquake engineering~behavior of structures,Department of Civil and Environmental Engineering
Stephen Best,film~English literature~African American literature~literary culture~legal culture,Department of English
Stephen Booth,English~aesthetics~Renaissance literature,Department of English
Stephen D. Sugarman,public health~torts~education~school finance~tobacco~school choice~auto insurance~disaster law~performance-based regulation~children families~welfare and social insurance~employee benefits~employment law,Boalt Hall School of Law
